#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2020-10-02"
#curie_map:
#  BFO: "http://purl.obolibrary.org/obo/BFO_"
#  GO: "http://purl.obolibrary.org/obo/GO_"
#  IAO: "http://purl.obolibrary.org/obo/IAO_"
#  PW: "http://purl.obolibrary.org/obo/PW_"
#  RO: "http://purl.obolibrary.org/obo/RO_"
#  dc: "http://purl.org/dc/elements/1.1/"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
#  owl: "http://www.w3.org/2002/07/owl#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
PW:0001385	glutamate fermentation pathway	owl:equivalentClass	GO:0019670	anaerobic glutamate catabolic process	Lexical|Stemming	PW	GO	rdf_matcher	0.71117372060607	rdfs:label	oio:hasExactSynonym	bl:MetabolicPathway	biological_process	glutamate ferment	unique	.
PW:0000825	antigen processing and presentation pathway	owl:equivalentClass	GO:0019882	antigen processing and presentation	Lexical|Stemming	PW	GO	rdf_matcher	0.7252004253240047	rdfs:label	rdfs:label	pathway	biological_process	antigen processing and present	many_to_one	.
PW:0000039	bile acid biosynthetic pathway	owl:equivalentClass	GO:0006699	bile acid biosynthetic process	Lexical|Stemming	PW	GO	rdf_matcher	0.7519492530313434	rdfs:label	oio:hasExactSynonym	bl:MetabolicPathway	biological_process	bile acid biosynsi	unique	.
PW:0000039	bile acid biosynthetic pathway	owl:equivalentClass	GO:0006699	bile acid biosynthetic process	Lexical|Stemming	PW	GO	rdf_matcher	0.7519492530313434	rdfs:label	oio:hasExactSynonym	bl:MetabolicPathway	biological_process	bile acid biosynsi	unique	.
PW:0000039	bile acid biosynthetic pathway	owl:equivalentClass	GO:0006699	bile acid biosynthetic process	Lexical|Stemming	PW	GO	rdf_matcher	0.7519492530313434	rdfs:label	rdfs:label	bl:MetabolicPathway	biological_process	bile acid biosynsi	unique	.
PW:0002397	constitutive exocytosis pathway	owl:equivalentClass	GO:0045054	constitutive secretory pathway	Lexical|Stemming	PW	GO	rdf_matcher	0.71117372060607	rdfs:label	oio:hasExactSynonym	bl:RegulatoryPathway	biological_process	constitutive exocytosi	unique	.
PW:0000103	transport pathway	owl:equivalentClass	GO:0006810	transport	Lexical|Stemming	PW	GO	rdf_matcher	0.6666666666666666	rdfs:label	rdfs:label	bl:RegulatoryPathway	biological_process	transport	unique	.
PW:0001309	abscisic acid metabolic pathway	owl:equivalentClass	GO:0009687	abscisic acid metabolic process	Lexical|Stemming	PW	GO	rdf_matcher	0.7519492530313434	rdfs:label	oio:hasExactSynonym	bl:MetabolicPathway	biological_process	abscisic acid metabol	unique	.
PW:0001309	abscisic acid metabolic pathway	owl:equivalentClass	GO:0009687	abscisic acid metabolic process	Lexical|Stemming	PW	GO	rdf_matcher	0.7519492530313434	rdfs:label	rdfs:label	bl:MetabolicPathway	biological_process	abscisic acid metabol	unique	.
PW:0000008	Wnt signaling pathway	owl:equivalentClass	GO:0016055	Wnt signaling pathway	Lexical|Stemming	PW	GO	rdf_matcher	0.71117372060607	rdfs:label	rdfs:label	bl:SignalingPathway	biological_process	wnt signal	unique	.
PW:0000008	Wnt signaling pathway	owl:equivalentClass	GO:0016055	Wnt signaling pathway	Lexical	PW	GO	rdf_matcher	0.810860176054461	rdfs:label	rdfs:label	bl:SignalingPathway	biological_process	wnt signaling pathway	unique	.
PW:0000104	intrinsic apoptotic pathway	owl:equivalentClass	GO:0097193	intrinsic apoptotic signaling pathway	Lexical|Stemming	PW	GO	rdf_matcher	0.71117372060607	rdfs:label	oio:hasExactSynonym	bl:RegulatoryPathway	biological_process	intrinsic apoptot	unique	.
PW:0000104	intrinsic apoptotic pathway	owl:equivalentClass	GO:0097193	intrinsic apoptotic signaling pathway	Lexical	PW	GO	rdf_matcher	0.810860176054461	rdfs:label	oio:hasExactSynonym	bl:RegulatoryPathway	biological_process	intrinsic apoptotic pathway	unique	.
PW:0001569	mRNA maturation pathway	owl:equivalentClass	GO:0006397	mRNA processing	Lexical|Stemming	PW	GO	rdf_matcher	0.5517995186601091	rdfs:label	oio:hasRelatedSynonym	bl:RegulatoryPathway	biological_process	mrna matur	unique	.
PW:0001073	spliceosome pathway	owl:equivalentClass	GO:0005681	spliceosomal complex	Lexical|Stemming	PW	GO	rdf_matcher	0.058823529411764705	rdfs:label	oio:hasBroadSynonym	bl:RegulatoryPathway	cellular_component	spliceosom	unique	.
PW:0002615	glyoxalase metabolic pathway	owl:equivalentClass	GO:0051596	methylglyoxal catabolic process	Lexical|Stemming	PW	GO	rdf_matcher	0.5517995186601091	oio:hasRelatedSynonym	oio:hasExactSynonym	bl:MetabolicPathway	biological_process	methylglyoxal catabol	unique	.
